"Topic","Sentiment","TweetId","TweetDate","TweetText"
"b'apple'","b'positive'","b'126352268705538048'","b'Tue Oct 18 17:41:43 +0000 2011'","b'Come to the dark side \xf0\x9f\x93\xb1\xe2\x80\x9c@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.\xe2\x80\x9d'"
"b'apple'","b'positive'","b'126342268603998208'","b'Tue Oct 18 17:01:58 +0000 2011'","b'Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.'"
"b'apple'","b'positive'","b'126325800080392193'","b'Tue Oct 18 15:56:32 +0000 2011'","b'@DailyDealChat @apple Thanks!!'"
"b'apple'","b'positive'","b'126324177501302784'","b'Tue Oct 18 15:50:05 +0000 2011'","b'iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes'"
"b'apple'","b'positive'","b'126322063332999169'","b'Tue Oct 18 15:41:41 +0000 2011'","b'@apple @siri is efffing amazing!!'"
"b'apple'","b'positive'","b'126318009647235072'","b'Tue Oct 18 15:25:35 +0000 2011'","b'RT @TripLingo: We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
"b'apple'","b'positive'","b'126315223060709376'","b'Tue Oct 18 15:14:30 +0000 2011'","b'We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'"
"b'apple'","b'positive'","b'126314687116750849'","b'Tue Oct 18 15:12:22 +0000 2011'","b'We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16'"
"b'apple'","b'positive'","b'126311981564178432'","b'Tue Oct 18 15:01:37 +0000 2011'","b'---\xc2\xbb RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?'"
"b'apple'","b'positive'","b'126301956951117826'","b'Tue Oct 18 14:21:47 +0000 2011'","b""@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN"""
"b'apple'","b'positive'","b'126287654093471745'","b'Tue Oct 18 13:24:57 +0000 2011'","b'At the bus with my iPhone ;) thxx @apple'"
"b'apple'","b'positive'","b'126284506360578049'","b'Tue Oct 18 13:12:27 +0000 2011'","b'@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.'"
"b'apple'","b'positive'","b'126263834968211456'","b'Tue Oct 18 11:50:18 +0000 2011'","b'NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad'"
"b'apple'","b'positive'","b'126256230397259776'","b'Tue Oct 18 11:20:05 +0000 2011'","b'@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA'"
"b'apple'","b'positive'","b'126195522691280896'","b'Tue Oct 18 07:18:51 +0000 2011'","b'@bkad5161 than apologize to @apple ;)'"
"b'apple'","b'positive'","b'126180209501286400'","b'Tue Oct 18 06:18:01 +0000 2011'","b'Lmfao look at the argument I had with Siri !!\n@ijustine @apple http://t.co/D4VjL7SI'"
"b'apple'","b'positive'","b'126164430546403328'","b'Tue Oct 18 05:15:18 +0000 2011'","b'Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s'"
"b'apple'","b'positive'","b'126140794078892033'","b'Tue Oct 18 03:41:23 +0000 2011'","b""Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now"""
"b'apple'","b'positive'","b'126134400466419712'","b'Tue Oct 18 03:15:59 +0000 2011'","b""Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -"""
"b'apple'","b'positive'","b'126116898051076096'","b'Tue Oct 18 02:06:26 +0000 2011'","b'#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple'"
"b'apple'","b'positive'","b'126116614495154176'","b'Tue Oct 18 02:05:18 +0000 2011'","b'Well at least the @apple store has amazing call waiting music! #need4s'"
"b'apple'","b'positive'","b'126112836219973632'","b'Tue Oct 18 01:50:17 +0000 2011'","b'#sweet... #apple replaced my glass #probono. thank you @apple'"
"b'apple'","b'positive'","b'126107965991297024'","b'Tue Oct 18 01:30:56 +0000 2011'","b'Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad'"
"b'apple'","b'positive'","b'126104732426186752'","b'Tue Oct 18 01:18:05 +0000 2011'","b'loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology'"
"b'apple'","b'positive'","b'126097426493878272'","b'Tue Oct 18 00:49:03 +0000 2011'","b""I'm loving this new IOS5 update :) @apple"""
"b'apple'","b'positive'","b'126095744531832832'","b'Tue Oct 18 00:42:22 +0000 2011'","b'Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...'"
"b'apple'","b'positive'","b'126084907343691776'","b'Mon Oct 17 23:59:19 +0000 2011'","b'Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.'"
"b'apple'","b'positive'","b'126076238375817216'","b'Mon Oct 17 23:24:52 +0000 2011'","b'#iCloud set up was flawless and works like a champ! To the Cloud @Apple'"
"b'apple'","b'positive'","b'126075534894571520'","b'Mon Oct 17 23:22:04 +0000 2011'","b""@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!"""
"b'apple'","b'positive'","b'126064519943426048'","b'Mon Oct 17 22:38:18 +0000 2011'","b'@apple loving the new IOS5 upgrade for the iPhone!'"
"b'apple'","b'positive'","b'126063358037340161'","b'Mon Oct 17 22:33:41 +0000 2011'","b'Once again getting great customer service from the @apple store at millenia mall.'"
"b'apple'","b'positive'","b'126059405941809152'","b'Mon Oct 17 22:17:59 +0000 2011'","b'Is it just me or is #iOS5 faster for the iPad? @apple'"
"b'apple'","b'positive'","b'126057030996852737'","b'Mon Oct 17 22:08:32 +0000 2011'","b'making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH'"
"b'apple'","b'positive'","b'126040074595999746'","b'Mon Oct 17 21:01:10 +0000 2011'","b'Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1'"
"b'apple'","b'positive'","b'126034495991328768'","b'Mon Oct 17 20:39:00 +0000 2011'","b'So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.'"
"b'apple'","b'positive'","b'126026756623831041'","b'Mon Oct 17 20:08:14 +0000 2011'","b'@Apple Safari Reader owns the worldwide web'"
"b'apple'","b'positive'","b'126019393460244481'","b'Mon Oct 17 19:38:59 +0000 2011'","b'I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out'"
"b'apple'","b'positive'","b'126009748020658177'","b'Mon Oct 17 19:00:39 +0000 2011'","b'Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp'"
"b'apple'","b'positive'","b'126008369562652672'","b'Mon Oct 17 18:55:11 +0000 2011'","b'Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)'"
"b'apple'","b'positive'","b'126002597063696384'","b'Mon Oct 17 18:32:14 +0000 2011'","b'i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone'"
"b'apple'","b'positive'","b'125999676972470272'","b'Mon Oct 17 18:20:38 +0000 2011'","b'Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w'"
"b'apple'","b'positive'","b'125978568726560768'","b'Mon Oct 17 16:56:46 +0000 2011'","b'4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!'"
"b'apple'","b'positive'","b'125974505385500672'","b'Mon Oct 17 16:40:37 +0000 2011'","b"".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear"""
"b'apple'","b'positive'","b'125959059957485569'","b'Mon Oct 17 15:39:14 +0000 2011'","b'I just sent my grandma a post card using my #CardsApp thanks @Apple'"
"b'apple'","b'positive'","b'125947912306954240'","b'Mon Oct 17 14:54:56 +0000 2011'","b'@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it\'s still alive.'"
"b'apple'","b'positive'","b'125940394566483968'","b'Mon Oct 17 14:25:04 +0000 2011'","b'God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)'"
"b'apple'","b'positive'","b'125924446430183425'","b'Mon Oct 17 13:21:42 +0000 2011'","b'Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.'"
"b'apple'","b'positive'","b'125922999651139584'","b'Mon Oct 17 13:15:57 +0000 2011'","b'One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)'"
"b'apple'","b'positive'","b'125902301931126785'","b'Mon Oct 17 11:53:42 +0000 2011'","b'RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple'"
"b'apple'","b'positive'","b'125901202591461376'","b'Mon Oct 17 11:49:20 +0000 2011'","b'Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple'"
"b'apple'","b'positive'","b'125900497327636480'","b'Mon Oct 17 11:46:32 +0000 2011'","b'Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone'"
"b'apple'","b'positive'","b'125850288488841217'","b'Mon Oct 17 08:27:01 +0000 2011'","b'Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone'"
"b'apple'","b'positive'","b'125840039031738368'","b'Mon Oct 17 07:46:17 +0000 2011'","b'@apple your simply the best.'"
"b'apple'","b'positive'","b'125794931439702016'","b'Mon Oct 17 04:47:03 +0000 2011'","b""I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's"""
"b'apple'","b'positive'","b'125728717942161408'","b'Mon Oct 17 00:23:56 +0000 2011'","b""Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness"""
"b'apple'","b'positive'","b'125722746100531200'","b'Mon Oct 17 00:00:13 +0000 2011'","b'Loving the new iPod update @apple'"
"b'apple'","b'positive'","b'125717622728818688'","b'Sun Oct 16 23:39:51 +0000 2011'","b'@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.'"
"b'apple'","b'positive'","b'125713935344214016'","b'Sun Oct 16 23:25:12 +0000 2011'","b'@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed'"
"b'apple'","b'positive'","b'125712433087123456'","b'Sun Oct 16 23:19:14 +0000 2011'","b'Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT'"
"b'apple'","b'positive'","b'125708639607599104'","b'Sun Oct 16 23:04:09 +0000 2011'","b'Loving my new #iPhone4S thanks @apple for #ios5'"
"b'apple'","b'positive'","b'125681742760771584'","b'Sun Oct 16 21:17:17 +0000 2011'","b'@apple Siri is amazing'"
"b'apple'","b'positive'","b'125677424565424128'","b'Sun Oct 16 21:00:07 +0000 2011'","b'Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple'"
"b'apple'","b'positive'","b'125667241978114048'","b'Sun Oct 16 20:19:39 +0000 2011'","b'So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac'"
"b'apple'","b'positive'","b'125664375364255744'","b'Sun Oct 16 20:08:17 +0000 2011'","b'I \xe2\x99\xa5 @Apple http://t.co/a8on3IAa'"
"b'apple'","b'positive'","b'125662399217930240'","b'Sun Oct 16 20:00:25 +0000 2011'","b'@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry'"
"b'apple'","b'positive'","b'125652668080336896'","b'Sun Oct 16 19:21:45 +0000 2011'","b'Loving #iOS5 !! #awesome @Apple'"
"b'apple'","b'positive'","b'125648027045199873'","b'Sun Oct 16 19:03:18 +0000 2011'","b'RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}'"
"b'apple'","b'positive'","b'125643107260829697'","b'Sun Oct 16 18:43:45 +0000 2011'","b'@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??'"
"b'apple'","b'positive'","b'125628199269961729'","b'Sun Oct 16 17:44:31 +0000 2011'","b""@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?"""
"b'apple'","b'positive'","b'125623745284018176'","b'Sun Oct 16 17:26:49 +0000 2011'","b'@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.'"
"b'apple'","b'positive'","b'125618466353983488'","b'Sun Oct 16 17:05:50 +0000 2011'","b""RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ..."""
"b'apple'","b'positive'","b'125610372727193601'","b'Sun Oct 16 16:33:41 +0000 2011'","b""Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s"""
"b'apple'","b'positive'","b'125608381431025664'","b'Sun Oct 16 16:25:47 +0000 2011'","b'I &lt;3 @apple http://t.co/ondXWpEr'"
"b'apple'","b'positive'","b'125596541028282369'","b'Sun Oct 16 15:38:43 +0000 2011'","b'Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.'"
"b'apple'","b'positive'","b'125585606100267008'","b'Sun Oct 16 14:55:16 +0000 2011'","b'Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D'"
"b'apple'","b'positive'","b'125562428200202240'","b'Sun Oct 16 13:23:10 +0000 2011'","b'RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple'"
"b'apple'","b'positive'","b'125561950376701952'","b'Sun Oct 16 13:21:16 +0000 2011'","b'the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple'"
"b'apple'","b'positive'","b'125550135911518209'","b'Sun Oct 16 12:34:19 +0000 2011'","b""My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple."""
"b'apple'","b'positive'","b'125547297072357376'","b'Sun Oct 16 12:23:02 +0000 2011'","b'It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!'"
"b'apple'","b'positive'","b'125539788546781185'","b'Sun Oct 16 11:53:12 +0000 2011'","b'RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple'"
"b'apple'","b'positive'","b'125537993942515712'","b'Sun Oct 16 11:46:04 +0000 2011'","b'@RickySinghPT got a new backside for my eye phone! V impressed with @apple'"
"b'apple'","b'positive'","b'125537578974851072'","b'Sun Oct 16 11:44:25 +0000 2011'","b'#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things'"
"b'apple'","b'positive'","b'125524107386302465'","b'Sun Oct 16 10:50:53 +0000 2011'","b'Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!'"
"b'apple'","b'positive'","b'125501576952553472'","b'Sun Oct 16 09:21:22 +0000 2011'","b""Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple"""
"b'apple'","b'positive'","b'125501281753251840'","b'Sun Oct 16 09:20:11 +0000 2011'","b'@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required'"
"b'apple'","b'positive'","b'125459338524499969'","b'Sun Oct 16 06:33:31 +0000 2011'","b'Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.'"
"b'apple'","b'positive'","b'125455260801179648'","b'Sun Oct 16 06:17:19 +0000 2011'","b'I absolutely love my iPhone 4S. Thank you, Steve and @apple.'"
"b'apple'","b'positive'","b'125423290767507456'","b'Sun Oct 16 04:10:17 +0000 2011'","b""@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s"""
"b'apple'","b'positive'","b'125407532893224962'","b'Sun Oct 16 03:07:40 +0000 2011'","b""Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature"""
"b'apple'","b'positive'","b'125402412147146752'","b'Sun Oct 16 02:47:19 +0000 2011'","b'@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!'"
"b'apple'","b'positive'","b'125393816470568961'","b'Sun Oct 16 02:13:10 +0000 2011'","b'#iOS5 update submitted to @apple! Thanks for all the support!'"
"b'apple'","b'positive'","b'125356807626559488'","b'Sat Oct 15 23:46:06 +0000 2011'","b'Awesome service from the @apple store in pc. Thanks chris!'"
"b'apple'","b'positive'","b'125338216411828224'","b'Sat Oct 15 22:32:14 +0000 2011'","b'I am crazy about #iOS5 . The photo cropping is the best! @apple'"
"b'apple'","b'positive'","b'125333598197911552'","b'Sat Oct 15 22:13:53 +0000 2011'","b'.@apple thanks for fixing this... http://t.co/wTj1ogDO'"
"b'apple'","b'positive'","b'125313088160411649'","b'Sat Oct 15 20:52:23 +0000 2011'","b'@apple has changed life.'"
"b'apple'","b'positive'","b'125309946723188736'","b'Sat Oct 15 20:39:54 +0000 2011'","b""Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!"""
"b'apple'","b'positive'","b'125279987254300672'","b'Sat Oct 15 18:40:51 +0000 2011'","b""The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple"""
"b'apple'","b'positive'","b'125256305647693825'","b'Sat Oct 15 17:06:45 +0000 2011'","b'#iOs5 is nice and as it had to be ! Thanks @Apple'"
"b'apple'","b'positive'","b'125252188065902592'","b'Sat Oct 15 16:50:23 +0000 2011'","b'Good support fm Kevin @apple #Bellevue store 4 biz customers TY!'"
"b'apple'","b'positive'","b'125238017299451905'","b'Sat Oct 15 15:54:04 +0000 2011'","b""@Apple: Siri is amazing!!! I'm in love!"""
"b'apple'","b'positive'","b'125165176772247552'","b'Sat Oct 15 11:04:38 +0000 2011'","b'Love love love iOS 5!! @apple'"
"b'apple'","b'negative'","b'126418790706712576'","b'Tue Oct 18 22:06:03 +0000 2011'","b'RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...'"
"b'apple'","b'negative'","b'126417285559762944'","b'Tue Oct 18 22:00:04 +0000 2011'","b'RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..'"
"b'apple'","b'negative'","b'126416915664084992'","b'Tue Oct 18 21:58:36 +0000 2011'","b'@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..'"
"b'apple'","b'negative'","b'126411162622496768'","b'Tue Oct 18 21:35:44 +0000 2011'","b'@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5'"
"b'apple'","b'negative'","b'126410591949697024'","b'Tue Oct 18 21:33:28 +0000 2011'","b'@apple needs to hurry up and release #iTunesMatch'"
"b'apple'","b'negative'","b'126409696553861121'","b'Tue Oct 18 21:29:54 +0000 2011'","b'Why is  #Siri always down @apple'"
"b'apple'","b'negative'","b'126408864387182593'","b'Tue Oct 18 21:26:36 +0000 2011'","b'I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple'"
"b'apple'","b'negative'","b'126408052525105153'","b'Tue Oct 18 21:23:22 +0000 2011'","b'@apple AirDrop #fail - Immediate ""declined your request."" every time'"
"b'apple'","b'negative'","b'126405185630253056'","b'Tue Oct 18 21:11:59 +0000 2011'","b'Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s'"
"b'apple'","b'negative'","b'126405040809312256'","b'Tue Oct 18 21:11:24 +0000 2011'","b'The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss'"
"b'apple'","b'negative'","b'126400637930979329'","b'Tue Oct 18 20:53:55 +0000 2011'","b""Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple"""
"b'apple'","b'negative'","b'126393204550537216'","b'Tue Oct 18 20:24:22 +0000 2011'","b'FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.'"
"b'apple'","b'negative'","b'126392402083708928'","b'Tue Oct 18 20:21:11 +0000 2011'","b""Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."""
"b'apple'","b'negative'","b'126385036441296896'","b'Tue Oct 18 19:51:55 +0000 2011'","b'shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.'"
"b'apple'","b'negative'","b'126382959711358976'","b'Tue Oct 18 19:43:40 +0000 2011'","b"". @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!"""
"b'apple'","b'negative'","b'126382051661328385'","b'Tue Oct 18 19:40:03 +0000 2011'","b'Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance'"
"b'apple'","b'negative'","b'126381519513194497'","b'Tue Oct 18 19:37:56 +0000 2011'","b'Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity'"
"b'apple'","b'negative'","b'126380588822298625'","b'Tue Oct 18 19:34:15 +0000 2011'","b""I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"""
"b'apple'","b'negative'","b'126377298650861568'","b'Tue Oct 18 19:21:10 +0000 2011'","b""@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit."""
"b'apple'","b'negative'","b'126375381249966080'","b'Tue Oct 18 19:13:33 +0000 2011'","b'@rogerweir no but I have the option of a  replacement iPhone 4s ?\nNot sure if I want one after having 2 duff iPhones.\n@O2 @iphone4s @apple'"
"b'apple'","b'negative'","b'126372694118768640'","b'Tue Oct 18 19:02:52 +0000 2011'","b'So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?'"
"b'apple'","b'negative'","b'126372040696541184'","b'Tue Oct 18 19:00:17 +0000 2011'","b""You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?"""
"b'apple'","b'negative'","b'126363154837020672'","b'Tue Oct 18 18:24:58 +0000 2011'","b'removing all @apple shit.'"
"b'apple'","b'negative'","b'126361483432038400'","b'Tue Oct 18 18:18:19 +0000 2011'","b""So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple"""
"b'apple'","b'negative'","b'126358301393956866'","b'Tue Oct 18 18:05:41 +0000 2011'","b""@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em"""
"b'apple'","b'negative'","b'126358272084152320'","b'Tue Oct 18 18:05:34 +0000 2011'","b'Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise'"
"b'apple'","b'negative'","b'126357580741226496'","b'Tue Oct 18 18:02:49 +0000 2011'","b""@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :("""
"b'apple'","b'negative'","b'126357227727626240'","b'Tue Oct 18 18:01:25 +0000 2011'","b""@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily."""
"b'apple'","b'negative'","b'126354628999778305'","b'Tue Oct 18 17:51:05 +0000 2011'","b""Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat"""
"b'apple'","b'negative'","b'126351972948393984'","b'Tue Oct 18 17:40:32 +0000 2011'","b'@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO'"
"b'apple'","b'negative'","b'126348169826148352'","b'Tue Oct 18 17:25:25 +0000 2011'","b""Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit."""
"b'apple'","b'negative'","b'126344426854416385'","b'Tue Oct 18 17:10:33 +0000 2011'","b'@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv'"
"b'apple'","b'negative'","b'126343931117047808'","b'Tue Oct 18 17:08:35 +0000 2011'","b""Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!"""
"b'apple'","b'negative'","b'126343679785959424'","b'Tue Oct 18 17:07:35 +0000 2011'","b'@phxguy88 @Apple @BGR That\'s why all the ppl who stand in line for hrs to get the ""newest"" model are suckers...'"
"b'apple'","b'negative'","b'126343214805426176'","b'Tue Oct 18 17:05:44 +0000 2011'","b'Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.'"
